variant,component,log10k
current_sssc_fixed_grid,kxx,-3.920799075411165
current_sssc_fixed_grid,kxx,-4.083526393264446
current_sssc_fixed_grid,kxx,-3.857196366755523
current_sssc_fixed_grid,kxx,-3.9076054407588745
current_sssc_fixed_grid,kxx,-4.320861957162602
current_sssc_fixed_grid,kxx,-0.1613140642998375
current_sssc_fixed_grid,kxx,-4.018009650565483
current_sssc_fixed_grid,kxx,-4.491402040240342
current_sssc_fixed_grid,kxx,-0.7466256533458019
current_sssc_fixed_grid,kxx,-4.17729274389802
current_sssc_fixed_grid,kxx,-4.026047351397014
current_sssc_fixed_grid,kxx,-4.1388164519006105
current_sssc_fixed_grid,kxx,-4.00301152124293
current_sssc_fixed_grid,kxx,-4.214359272779552
current_sssc_fixed_grid,kxx,-4.567069226569429
current_sssc_fixed_grid,kxx,-0.6512133721091211
current_sssc_fixed_grid,kxx,0.21378794252301742
current_sssc_fixed_grid,kxx,-4.216045670331899
current_sssc_fixed_grid,kxx,-4.000019993716736
current_sssc_fixed_grid,kxx,-4.174059839840315
current_sssc_fixed_grid,kxx,-4.066167913580195
current_sssc_fixed_grid,kxx,0.050874790339079067
current_sssc_fixed_grid,kxx,-0.37664028344218653
current_sssc_fixed_grid,kxx,-4.0941308957518165
current_sssc_fixed_grid,kxx,-4.52936591907293
current_sssc_fixed_grid,kxx,-0.08013423312855608
current_sssc_fixed_grid,kxx,-4.116119453338305
current_sssc_fixed_grid,kxx,-0.023269881489090222
current_sssc_fixed_grid,kxx,-4.237248452382437
current_sssc_fixed_grid,kxx,-4.122978509232208
current_sssc_fixed_grid,kxx,-3.9345443965653524
current_sssc_fixed_grid,kxx,-4.104757447183583
current_sssc_fixed_grid,kxx,0.2581576939174574
current_sssc_fixed_grid,kxx,-4.13058856575013
current_sssc_fixed_grid,kxx,-4.016967308678736
current_sssc_fixed_grid,kxx,-4.067229043215223
current_sssc_fixed_grid,kxx,-3.7193859443004307
current_sssc_fixed_grid,kxx,0.1862889892199395
current_sssc_fixed_grid,kxx,0.21143794065043747
current_sssc_fixed_grid,kxx,-4.018608501888426
current_sssc_fixed_grid,kxx,0.027780119560871418
current_sssc_fixed_grid,kxx,-4.384867022413257
current_sssc_fixed_grid,kxx,-4.1782448842979685
current_sssc_fixed_grid,kxx,-4.250159789612541
current_sssc_fixed_grid,kxx,-0.03859122128332514
current_sssc_fixed_grid,kxx,-0.1824760741815443
