Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp3,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,304001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
famp3,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,305001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
famp3,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,306001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
famp3,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,307001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
famp3,8,case_008_zf0050_svcl030_cvcl050,50,0.3,0.5,2000,2000,0,1,308001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_008_zf0050_svcl030_cvcl050\predict_runs.mat
famp3,9,case_009_zf0050_svcl030_cvcl060,50,0.3,0.6,2000,2000,0,1,309001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_009_zf0050_svcl030_cvcl060\predict_runs.mat
famp3,10,case_010_zf0500_svcl010_cvcl040,500,0.1,0.4,2000,2000,0,1,310001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_010_zf0500_svcl010_cvcl040\predict_runs.mat
famp3,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,311001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
famp3,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,312001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
famp3,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2000,0,1,313001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
famp3,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,314001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
famp3,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,315001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
famp3,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,316001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
famp3,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,317001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
famp3,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,318001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
