Window,Nsim,Repeat,Metric,Component,Score
famp1,50,4,Hellinger,kyy,0.160321097854139
famp1,50,4,Hellinger,kzz,0.250922928748861
famp1,50,4,Wasserstein,kxx,0.127843848546201
famp1,50,4,Wasserstein,kyy,0.0757706435837302
famp1,50,4,Wasserstein,kzz,0.22542993647185
famp1,50,5,MAE,kxx,0.0145333333333333
famp1,50,5,MAE,kyy,0.0183916666666667
famp1,50,5,MAE,kzz,0.00560416666666667
famp1,50,5,Hellinger,kxx,0.280635733315612
famp1,50,5,Hellinger,kyy,0.228084421523052
famp1,50,5,Hellinger,kzz,0.141690487606777
famp1,50,5,Wasserstein,kxx,0.223443899110649
famp1,50,5,Wasserstein,kyy,0.152979415520176
famp1,50,5,Wasserstein,kzz,0.166322818234651
famp1,50,6,MAE,kxx,0.0154083333333333
famp1,50,6,MAE,kyy,0.0133083333333333
famp1,50,6,MAE,kzz,0.00694166666666667
famp1,50,6,Hellinger,kxx,0.252092366846421
famp1,50,6,Hellinger,kyy,0.227092078675628
famp1,50,6,Hellinger,kzz,0.162282834654449
famp1,50,6,Wasserstein,kxx,0.343357035946124
famp1,50,6,Wasserstein,kyy,0.0751229583780922
famp1,50,6,Wasserstein,kzz,0.0654636302610327
famp1,50,7,MAE,kxx,0.0130958333333333
famp1,50,7,MAE,kyy,0.00912083333333334
famp1,50,7,MAE,kzz,0.0166
famp1,50,7,Hellinger,kxx,0.198139040449782
famp1,50,7,Hellinger,kyy,0.167172276038591
famp1,50,7,Hellinger,kzz,0.197617956864262
famp1,50,7,Wasserstein,kxx,0.266922308573821
famp1,50,7,Wasserstein,kyy,0.146650407325292
famp1,50,7,Wasserstein,kzz,0.154674501079682
famp1,50,8,MAE,kxx,0.0122875
famp1,50,8,MAE,kyy,0.0069
famp1,50,8,MAE,kzz,0.0134958333333333
famp1,50,8,Hellinger,kxx,0.180047947042303
famp1,50,8,Hellinger,kyy,0.183479666814296
famp1,50,8,Hellinger,kzz,0.154381633931782
famp1,50,8,Wasserstein,kxx,0.114811071608932
famp1,50,8,Wasserstein,kyy,0.0889299854386164
famp1,50,8,Wasserstein,kzz,0.0801649529773753
famp1,50,9,MAE,kxx,0.0148833333333333
famp1,50,9,MAE,kyy,0.0136291666666667
famp1,50,9,MAE,kzz,0.0205333333333333
famp1,50,9,Hellinger,kxx,0.183692315504682
famp1,50,9,Hellinger,kyy,0.191804128453902
famp1,50,9,Hellinger,kzz,0.241463585698934
famp1,50,9,Wasserstein,kxx,0.137310169775051
famp1,50,9,Wasserstein,kyy,0.144441542381565
famp1,50,9,Wasserstein,kzz,0.117347372853918
famp1,50,10,MAE,kxx,0.0136166666666667
famp1,50,10,MAE,kyy,0.012325
famp1,50,10,MAE,kzz,0.01095
famp1,50,10,Hellinger,kxx,0.178748258595933
famp1,50,10,Hellinger,kyy,0.196087206757325
famp1,50,10,Hellinger,kzz,0.133165507662272
famp1,50,10,Wasserstein,kxx,0.417985823690954
famp1,50,10,Wasserstein,kyy,0.178596544542896
famp1,50,10,Wasserstein,kzz,0.185456050320388
famp1,50,11,MAE,kxx,0.0139708333333333
famp1,50,11,MAE,kyy,0.0127708333333333
famp1,50,11,MAE,kzz,0.0064125
famp1,50,11,Hellinger,kxx,0.224509328517222
famp1,50,11,Hellinger,kyy,0.199182582644366
famp1,50,11,Hellinger,kzz,0.102910106310036
famp1,50,11,Wasserstein,kxx,0.0988880126549194
famp1,50,11,Wasserstein,kyy,0.0987473879788488
famp1,50,11,Wasserstein,kzz,0.073756790883698
famp1,50,12,MAE,kxx,0.0196166666666667
famp1,50,12,MAE,kyy,0.0129541666666667
famp1,50,12,MAE,kzz,0.0167125
famp1,50,12,Hellinger,kxx,0.225554879939682
famp1,50,12,Hellinger,kyy,0.212598572397119
famp1,50,12,Hellinger,kzz,0.239914439702419
famp1,50,12,Wasserstein,kxx,0.301883703438062
famp1,50,12,Wasserstein,kyy,0.4483796747438
famp1,50,12,Wasserstein,kzz,0.211093307089991
famp1,50,13,MAE,kxx,0.021025
famp1,50,13,MAE,kyy,0.0116083333333333
famp1,50,13,MAE,kzz,0.00640416666666667
famp1,50,13,Hellinger,kxx,0.28233771364421
famp1,50,13,Hellinger,kyy,0.166757011351766
famp1,50,13,Hellinger,kzz,0.140072242881781
famp1,50,13,Wasserstein,kxx,0.141923739013918
famp1,50,13,Wasserstein,kyy,0.199805373030273
famp1,50,13,Wasserstein,kzz,0.11578330575367
famp1,50,14,MAE,kxx,0.0142583333333333
