Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp2,Hellinger,kzz,R1_R3,0.0120836361717089,0.0137417060474286,0.0120836361717089,0.0183123525077707
famp2,Wasserstein,kxx,R1_R3,0.00431091314577782,0.00454141427936138,0.00431091314577782,0.00497052945208431
famp2,Wasserstein,kyy,R1_R3,0.0170319790147457,0.0150277725196113,0.00568840450670236,0.0170319790147457
famp2,Wasserstein,kzz,R1_R3,0.0194666135002663,0.0191174857576936,0.008365686390763,0.0194666135002663
famp2,MAE,kxx,R2_R3,0.000587499999999999,0.000633333333333335,0.000587499999999999,0.000787500000000003
famp2,MAE,kyy,R2_R3,0.000862499999999998,0.000729166666666664,0.000687499999999998,0.000862499999999998
famp2,MAE,kzz,R2_R3,0.00134166666666667,0.000804166666666666,0.0007,0.00134166666666667
famp2,Hellinger,kxx,R2_R3,0.0070097046377692,0.013161019066968,0.0070097046377692,0.0145802798570597
famp2,Hellinger,kyy,R2_R3,0.0172956486429254,0.0172956486429254,0.0172347022959486,0.0207225193453564
famp2,Hellinger,kzz,R2_R3,0.0183123525077707,0.0137417060474286,0.0120836361717089,0.0183123525077707
famp2,Wasserstein,kxx,R2_R3,0.00497052945208431,0.00454141427936138,0.00431091314577782,0.00497052945208431
famp2,Wasserstein,kyy,R2_R3,0.0150277725196113,0.0150277725196113,0.00568840450670236,0.0170319790147457
famp2,Wasserstein,kzz,R2_R3,0.0191174857576936,0.0191174857576936,0.008365686390763,0.0194666135002663
famp3,MAE,kxx,R1_R2,0.00044583333333333,0.00110833333333333,0.00044583333333333,0.00112916666666667
famp3,MAE,kyy,R1_R2,0.000329166666666666,0.000825,0.000329166666666666,0.0010375
famp3,MAE,kzz,R1_R2,0.000654166666666667,0.000875000000000001,0.000654166666666667,0.00125416666666667
famp3,Hellinger,kxx,R1_R2,0.0115582416944046,0.0127362474057567,0.0115582416944046,0.0139724396882802
famp3,Hellinger,kyy,R1_R2,0.00897664685146083,0.0117222808072155,0.00897664685146083,0.0173547064087204
famp3,Hellinger,kzz,R1_R2,0.015541242131047,0.0143189301004275,0.0132681065589483,0.015541242131047
famp3,Wasserstein,kxx,R1_R2,0.00719243916648431,0.00719243916648431,0.00644762533457918,0.00908321440162213
famp3,Wasserstein,kyy,R1_R2,0.00604213793508211,0.00604213793508211,0.00423789777905232,0.00817055997538956
famp3,Wasserstein,kzz,R1_R2,0.0132324757495126,0.0132324757495126,0.00770348596404183,0.018556094897966
famp3,MAE,kxx,R1_R3,0.00112916666666667,0.00110833333333333,0.00044583333333333,0.00112916666666667
famp3,MAE,kyy,R1_R3,0.000825,0.000825,0.000329166666666666,0.0010375
famp3,MAE,kzz,R1_R3,0.000875000000000001,0.000875000000000001,0.000654166666666667,0.00125416666666667
famp3,Hellinger,kxx,R1_R3,0.0127362474057567,0.0127362474057567,0.0115582416944046,0.0139724396882802
famp3,Hellinger,kyy,R1_R3,0.0117222808072155,0.0117222808072155,0.00897664685146083,0.0173547064087204
famp3,Hellinger,kzz,R1_R3,0.0132681065589483,0.0143189301004275,0.0132681065589483,0.015541242131047
famp3,Wasserstein,kxx,R1_R3,0.00908321440162213,0.00719243916648431,0.00644762533457918,0.00908321440162213
famp3,Wasserstein,kyy,R1_R3,0.00423789777905232,0.00604213793508211,0.00423789777905232,0.00817055997538956
famp3,Wasserstein,kzz,R1_R3,0.018556094897966,0.0132324757495126,0.00770348596404183,0.018556094897966
famp3,MAE,kxx,R2_R3,0.00110833333333333,0.00110833333333333,0.00044583333333333,0.00112916666666667
famp3,MAE,kyy,R2_R3,0.0010375,0.000825,0.000329166666666666,0.0010375
famp3,MAE,kzz,R2_R3,0.00125416666666667,0.000875000000000001,0.000654166666666667,0.00125416666666667
