sample_index,log10_kxx,log10_kyy,log10_kzz,cluster
377,-2.4916425229,-1.4853914842,-1.3807316080,2
378,-4.3962458885,-1.1381328886,-0.8104366791,1
379,-2.0872567609,-1.1759766403,-4.8358179853,3
380,-2.3327148637,-1.0236700653,-0.8526160639,2
381,-2.4874198207,-1.8462924633,-1.5986183499,2
382,-1.8259959170,-1.4188350252,-0.5718982984,2
383,-3.1294499747,-1.3172824861,-1.4739684468,2
384,-2.3454551216,-0.9252454127,-0.7251467906,2
385,-1.5842636292,-2.2588773504,-1.0887624362,2
386,-2.0051184230,-3.0323122926,-1.4741392450,2
387,-4.5697963645,-0.9264351248,-0.9227374670,1
388,-1.9266988124,-1.1847893719,-1.1425311325,2
389,-4.9519626738,-1.8628575803,-0.8433702180,1
390,-2.1027068188,-0.9858820371,-0.6972903995,2
391,-1.6381862554,-1.0845880579,-1.4354116829,2
392,-5.4995594223,-1.4826616304,-1.3857342723,1
393,-2.1643004812,-0.7336106870,-0.7108870134,2
394,-1.8424117593,-0.7932445255,-0.8008238557,2
395,-2.1626454189,-1.1506347756,-1.0220450215,2
396,-2.4710658608,-0.4301242669,-0.3925598983,2
397,-2.2160507299,-1.3067255884,-1.1189966169,2
398,-1.9760743510,-1.1152947263,-0.8035926101,2
399,-1.9039051320,-0.8972391706,-0.8358558312,2
400,-1.5204518608,-1.6436422724,-1.2707762684,2
401,-3.9085798897,-1.0761568479,-0.8030363950,1
402,-1.4263251781,-2.1291421624,-1.1799984535,2
403,-2.6889294460,-1.0893836929,-1.0157359958,2
404,-1.6274394538,-0.9003045908,-0.6660498916,2
405,-4.9331085429,-0.3193640473,-0.6843713045,1
406,-4.7116635085,-1.3970073232,-1.0352285367,1
407,-3.7987652434,-1.8252446467,-5.0634563602,3
408,-4.7027414606,-1.2291042902,-0.8611188667,1
409,-2.6934338893,-0.8843828095,-0.6520642385,2
410,-5.0375453701,-0.8181230259,-1.8919737300,1
411,-5.3865403944,-1.1419359672,-2.8862402535,1
412,-1.9461645490,-1.2065150582,-0.9924824945,2
413,-2.0932316925,-1.8729871109,-2.3953906423,2
414,-1.9927875175,-0.9860351673,-0.9572308877,2
415,-2.1417818189,-1.1358543594,-0.8796476222,2
416,-2.2095662831,-1.3943514534,-1.1439070757,2
417,-2.3208068944,-0.7059872452,-0.7365766112,2
418,-2.6142649499,-1.2169538113,-0.7254385801,2
419,-1.7871091027,-1.1522766492,-1.1230337048,2
420,-1.6813133684,-1.0104919657,-4.8372473942,3
421,-2.0597856841,-1.1467507672,-1.0126936215,2
422,-2.2681654681,-1.2244299119,-1.0520426115,2
423,-2.2693880461,-1.3553043683,-0.8342862640,2
424,-1.7517163308,-1.1123193996,-1.2864411860,2
425,-2.3332858119,-1.0985912911,-1.9624591545,2
426,-2.0476631222,-1.0550304233,-0.8110249450,2
427,-2.7637420236,-1.5710751305,-1.6450792438,2
428,-2.2916662466,-1.1036507904,-1.3945013855,2
429,-2.1008231564,-1.2171493678,-0.7556038331,2
430,-1.4440827616,-0.4499204009,-4.6473868840,3
431,-2.0851356207,-1.4093492462,-1.5123322749,2
432,-4.1014452771,-0.3798730109,-0.7418751022,1
433,-5.0196139315,-1.4097546795,-1.3922580033,1
434,-2.9408794448,-1.4236523829,-1.3815326451,2
435,-1.6398084501,-1.0903479800,-1.1704895505,2
436,-4.2021801600,-0.5529694829,-0.5228435445,1
437,-2.2910879322,-1.3145223912,-1.1374922054,2
438,-4.4475322289,-1.0156862342,-0.8781362672,1
439,-1.7452239787,-1.1865726131,-1.1597151155,2
440,-1.5337785327,-0.5649683387,-0.5299622188,2
441,-1.9476423479,-1.0547996729,-0.6877772567,2
442,-4.9873005515,-0.9109210962,-0.9099759888,1
443,-2.6181936508,-1.1874892810,-1.3517579162,2
444,-1.8087207117,-1.5560155763,-1.2933055180,2
445,-2.3929596554,-1.7297339336,-1.4392117884,2
446,-2.1598566353,-1.2447275354,-1.8038504857,2
