Window,Nsim,Component,MAE,Hellinger,TotalVariation,Wasserstein
famp6,30,kzz,0.0128722222222222,0.255912930553501,0.154466666666667,0.247280973976145
famp6,40,kxx,0.0146083333333333,0.261812768293311,0.1753,0.19884479753768
famp6,40,kyy,0.0120666666666667,0.127811510279959,0.1448,0.0774928602380745
famp6,40,kzz,0.00715833333333333,0.164150253823043,0.0859,0.102447351885182
famp6,50,kxx,0.0133333333333333,0.243812007530484,0.16,0.15779752378924
famp6,50,kyy,0.0138166666666667,0.133401645715317,0.1658,0.122749178477916
famp6,50,kzz,0.0122333333333333,0.187362174929502,0.1468,0.116628131526859
famp6,100,kxx,0.017525,0.249867060786823,0.2103,0.132950199757796
famp6,100,kyy,0.00480833333333334,0.091143779792163,0.0577,0.05170733285835
famp6,100,kzz,0.00776666666666667,0.117109108940897,0.0932,0.143281806119965
famp6,200,kxx,0.00460833333333333,0.0722733568295684,0.0553,0.0899504449620176
famp6,200,kyy,0.00688333333333333,0.0703727464684345,0.0826,0.0372887649723788
famp6,200,kzz,0.005375,0.0911154649018237,0.0645,0.139049083099762
famp6,300,kxx,0.00849722222222222,0.0972456861771364,0.101966666666667,0.170813303398633
famp6,300,kyy,0.00248055555555555,0.0389084959917464,0.0297666666666667,0.0215458056295745
famp6,300,kzz,0.00527777777777778,0.0710953583295225,0.0633333333333333,0.0506565983749664
famp6,400,kxx,0.00516666666666667,0.050603877804663,0.062,0.0449172570933651
famp6,400,kyy,0.00290833333333333,0.0452111543831151,0.0349,0.0197856603512564
famp6,400,kzz,0.00545,0.0925742270258828,0.0654,0.0842888468364221
famp6,500,kxx,0.006075,0.0751635211902014,0.0729,0.100686256346932
famp6,500,kyy,0.00200833333333334,0.0405309883444179,0.0241,0.0300689706946968
famp6,500,kzz,0.00416666666666667,0.07188114254707,0.05,0.0830056042319822
famp6,1000,kxx,0.002875,0.0518590316750004,0.0345,0.0295995221992516
famp6,1000,kyy,0.002175,0.0235481734856223,0.0261,0.0162511312633308
famp6,1000,kzz,0.003375,0.0454370515661701,0.0405,0.0368076386620558
