Window,Nsim,Repeat,Metric,Component,Score
famp1,50,17,Hellinger,kxx,0.329358452156618
famp1,50,17,Hellinger,kyy,0.199265881223674
famp1,50,17,Hellinger,kzz,0.118839418721061
famp1,50,17,Wasserstein,kxx,0.211985357491389
famp1,50,17,Wasserstein,kyy,0.0751707196301505
famp1,50,17,Wasserstein,kzz,0.195297792094808
famp1,50,18,MAE,kxx,0.0119791666666667
famp1,50,18,MAE,kyy,0.0166916666666667
famp1,50,18,MAE,kzz,0.0117833333333333
famp1,50,18,Hellinger,kxx,0.141523206371885
famp1,50,18,Hellinger,kyy,0.201160546359528
famp1,50,18,Hellinger,kzz,0.135705845064546
famp1,50,18,Wasserstein,kxx,0.233366867233482
famp1,50,18,Wasserstein,kyy,0.0809475036829412
famp1,50,18,Wasserstein,kzz,0.222649935536642
famp1,50,19,MAE,kxx,0.0092
famp1,50,19,MAE,kyy,0.00841666666666666
famp1,50,19,MAE,kzz,0.0105458333333333
famp1,50,19,Hellinger,kxx,0.184618794080384
famp1,50,19,Hellinger,kyy,0.15420486519536
famp1,50,19,Hellinger,kzz,0.258439126175394
famp1,50,19,Wasserstein,kxx,0.192707896338398
famp1,50,19,Wasserstein,kyy,0.110063669420065
famp1,50,19,Wasserstein,kzz,0.100303147798155
famp1,50,20,MAE,kxx,0.010125
famp1,50,20,MAE,kyy,0.0154541666666667
famp1,50,20,MAE,kzz,0.00919583333333333
famp1,50,20,Hellinger,kxx,0.181050960778978
famp1,50,20,Hellinger,kyy,0.189224167951588
famp1,50,20,Hellinger,kzz,0.149079321232584
famp1,50,20,Wasserstein,kxx,0.101201142388964
famp1,50,20,Wasserstein,kyy,0.215753553359565
famp1,50,20,Wasserstein,kzz,0.135708813144226
famp1,50,21,MAE,kxx,0.0118166666666667
famp1,50,21,MAE,kyy,0.0053125
famp1,50,21,MAE,kzz,0.012425
famp1,50,21,Hellinger,kxx,0.204570360571513
famp1,50,21,Hellinger,kyy,0.119721608686263
famp1,50,21,Hellinger,kzz,0.175694152349164
famp1,50,21,Wasserstein,kxx,0.109080543329393
famp1,50,21,Wasserstein,kyy,0.0566865224202969
famp1,50,21,Wasserstein,kzz,0.0972731785817814
famp1,50,22,MAE,kxx,0.0129166666666667
famp1,50,22,MAE,kyy,0.00700833333333334
famp1,50,22,MAE,kzz,0.0047625
famp1,50,22,Hellinger,kxx,0.224505161690265
famp1,50,22,Hellinger,kyy,0.121642550638482
famp1,50,22,Hellinger,kzz,0.0734156622887383
famp1,50,22,Wasserstein,kxx,0.309507464351956
famp1,50,22,Wasserstein,kyy,0.0648636327307119
famp1,50,22,Wasserstein,kzz,0.0851894821575131
famp1,50,23,MAE,kxx,0.0146875
famp1,50,23,MAE,kyy,0.00473333333333334
famp1,50,23,MAE,kzz,0.00664166666666667
famp1,50,23,Hellinger,kxx,0.217045253900222
famp1,50,23,Hellinger,kyy,0.158102097305042
famp1,50,23,Hellinger,kzz,0.0959070163736798
famp1,50,23,Wasserstein,kxx,0.22804471107721
famp1,50,23,Wasserstein,kyy,0.0846221231320668
famp1,50,23,Wasserstein,kzz,0.117116733415325
famp1,50,24,MAE,kxx,0.00672916666666667
famp1,50,24,MAE,kyy,0.00427083333333334
famp1,50,24,MAE,kzz,0.0150791666666667
famp1,50,24,Hellinger,kxx,0.0899254554938561
famp1,50,24,Hellinger,kyy,0.155197990626683
famp1,50,24,Hellinger,kzz,0.21393055335228
famp1,50,24,Wasserstein,kxx,0.089608138941997
famp1,50,24,Wasserstein,kyy,0.0609647395839447
famp1,50,24,Wasserstein,kzz,0.145220196611427
famp1,50,25,MAE,kxx,0.0122583333333333
famp1,50,25,MAE,kyy,0.00652916666666666
famp1,50,25,MAE,kzz,0.00685833333333333
famp1,50,25,Hellinger,kxx,0.209092715404368
famp1,50,25,Hellinger,kyy,0.130154654441911
famp1,50,25,Hellinger,kzz,0.150178586504917
famp1,50,25,Wasserstein,kxx,0.133651687007026
famp1,50,25,Wasserstein,kyy,0.0741645448130893
famp1,50,25,Wasserstein,kzz,0.0664285459047386
famp1,50,26,MAE,kxx,0.0112958333333333
famp1,50,26,MAE,kyy,0.00914583333333333
famp1,50,26,MAE,kzz,0.0141291666666667
famp1,50,26,Hellinger,kxx,0.166594448639811
famp1,50,26,Hellinger,kyy,0.190302317071645
famp1,50,26,Hellinger,kzz,0.21637724727368
famp1,50,26,Wasserstein,kxx,0.123905852117946
famp1,50,26,Wasserstein,kyy,0.0915605023682353
famp1,50,26,Wasserstein,kzz,0.140942450686209
famp1,50,27,MAE,kxx,0.01
famp1,50,27,MAE,kyy,0.00926666666666667
famp1,50,27,MAE,kzz,0.0104541666666667
famp1,50,27,Hellinger,kxx,0.19858175939729
famp1,50,27,Hellinger,kyy,0.172949022971752
famp1,50,27,Hellinger,kzz,0.185557485635597
famp1,50,27,Wasserstein,kxx,0.0739052782857327
famp1,50,27,Wasserstein,kyy,0.0800232173787351
famp1,50,27,Wasserstein,kzz,0.0927312586971959
famp1,50,28,MAE,kxx,0.00918333333333334
famp1,50,28,MAE,kyy,0.0108125
famp1,50,28,MAE,kzz,0.00687916666666667
famp1,50,28,Hellinger,kxx,0.134827233711935
famp1,50,28,Hellinger,kyy,0.146321998951336
famp1,50,28,Hellinger,kzz,0.20911003376176
famp1,50,28,Wasserstein,kxx,0.129157891659753
famp1,50,28,Wasserstein,kyy,0.102435375867557
famp1,50,28,Wasserstein,kzz,0.236115444771319
famp1,50,29,MAE,kxx,0.01125
famp1,50,29,MAE,kyy,0.00877916666666667
famp1,50,29,MAE,kzz,0.0135541666666667
famp1,50,29,Hellinger,kxx,0.205422084093505
famp1,50,29,Hellinger,kyy,0.15147392451606
famp1,50,29,Hellinger,kzz,0.219195437523463
famp1,50,29,Wasserstein,kxx,0.117076584406599
famp1,50,29,Wasserstein,kyy,0.0615229833085423
famp1,50,29,Wasserstein,kzz,0.205360865639891
famp1,50,30,MAE,kxx,0.0143708333333333
famp1,50,30,MAE,kyy,0.0064
famp1,50,30,MAE,kzz,0.00637083333333334
famp1,50,30,Hellinger,kxx,0.245820164535493
famp1,50,30,Hellinger,kyy,0.164312914806254
famp1,50,30,Hellinger,kzz,0.179122767659503
famp1,50,30,Wasserstein,kxx,0.140793205135183
famp1,50,30,Wasserstein,kyy,0.0883062214360886
famp1,50,30,Wasserstein,kzz,0.168996398955608
